region, T, n, Tlo, nlo, Thi, nhi
annu_A222_1, 4.09226, 0.137075,3.836428,  0.1317561, 4.349223, 0.14241803
annu_A222_2, 3.81873, 0.0439155,3.604369,  0.042492112, 4.034959, 0.045343483999999996
